location,total_sqft,bath,balcony,price,bhk,per_squre_price
Nandini Layout,600.0,3.0,2.0,72.0,2,12000.0
Hosakerehalli,1500.0,3.0,2.0,70.0,4,4666.666666666667
Mallasandra,905.0,2.0,1.0,40.0,2,4419.889502762431
Sarjapur,1044.0,2.0,2.0,32.0,2,3065.1340996168583
Electronic City,418.0,1.0,1.0,12.0,1,2870.813397129187
"Gubbi Cross, Hennur Main Road",3600.0,4.0,2.0,300.0,4,8333.333333333334
Electronic City,1200.0,2.0,1.0,59.0,2,4916.666666666667
Battarahalli,1350.0,3.0,1.0,110.0,5,8148.148148148148
Ananth Nagar,500.0,2.0,2.0,14.0,1,2800.0
Thanisandra,933.0,2.0,1.0,58.0,1,6216.505894962486
Jai Bheema Nagar,1470.0,2.0,2.0,70.0,3,4761.9047619047615
Jalahalli West,1355.0,2.0,3.0,75.0,2,5535.055350553505
Kanakpura Road,950.0,2.0,1.0,57.0,2,6000.0
Annaiah Reddy Layout,1075.0,2.0,2.0,48.0,2,4465.116279069767
Banashankari Stage III,2000.0,4.0,0.0,100.0,4,5000.0
Malleshpalya,1785.0,3.0,2.0,75.0,3,4201.680672268908
Kasavanhalli,1105.0,2.0,2.0,42.0,2,3800.9049773755655
Vidyaranyapura,1120.0,2.0,1.0,70.0,2,6250.0
Konanakunte,3621.0,4.0,1.0,511.0,4,14112.123722728527
Mysore Road,1005.0,2.0,0.0,35.175,2,3499.9999999999995
Kengeri,1230.0,2.0,2.0,45.0,2,3658.5365853658536
Kanakpura Road,1452.0,3.0,3.0,54.2,3,3732.782369146005
Varanasi,1334.0,2.0,1.0,62.0,2,4647.67616191904
Arishinakunte,2400.0,4.0,1.0,150.0,4,6250.0
TC Palaya,1200.0,2.0,0.0,66.0,2,5500.0
Balepet,499.0,5.0,0.0,89.0,6,17835.67134268537
Kammanahalli,900.0,4.0,1.0,150.0,4,16666.666666666668
Whitefield,1626.0,3.0,3.0,85.0,3,5227.552275522755
Bannerghatta Road,1656.0,2.0,1.0,62.93,3,3800.12077294686
Electronic City,1265.0,2.0,0.0,56.93,2,4500.395256916996
Thubarahalli,1185.0,2.0,2.0,65.0,2,5485.232067510548
Electronic City Phase II,1065.0,2.0,1.0,30.75,2,2887.323943661972
New Gurappana Palya,1250.0,3.0,2.0,40.0,3,3200.0
Thanisandra,933.0,2.0,1.0,66.0,2,7073.954983922829
Electronic City,1620.0,3.0,2.0,62.0,3,3827.16049382716
Haralur Road,1560.0,3.0,1.0,90.0,3,5769.2307692307695
Bellandur,1540.0,4.0,3.0,45.0,4,2922.0779220779223
Channasandra,1800.0,3.0,2.0,60.0,3,3333.333333333333
Electronic City,1200.0,2.0,1.0,34.65,2,2887.5
Sarjapur,2585.5,4.0,0.0,139.5,4,5395.4747631019145
Munnekollal,1800.0,3.0,3.0,65.0,3,3611.1111111111113
Kaikondrahalli,674.0,1.0,1.0,19.9,2,2952.522255192878
Whitefield,1200.0,2.0,1.0,46.13,2,3844.1666666666665
Doddanekundi,3250.0,5.0,1.0,850.0,4,26153.846153846152
Gubbalala,1745.0,3.0,2.0,125.0,3,7163.323782234957
Shivaji Nagar,850.0,2.0,2.0,55.0,2,6470.588235294118
GD Layout,1330.0,2.0,2.0,68.0,3,5112.7819548872185
Haralur Road,1027.0,2.0,2.0,44.0,2,4284.323271665044
BTM 2nd Stage,2400.0,2.0,0.0,360.0,3,15000.0
7th Phase JP Nagar,3300.0,4.0,0.0,150.0,4,4545.454545454545
Kengeri Hobli,1082.0,2.0,0.0,42.0,3,3881.70055452865
7th Phase JP Nagar,1140.0,2.0,1.0,57.0,2,5000.0
Sarjapur  Road,984.0,2.0,1.0,45.75,2,4649.390243902439
Yelahanka,3050.0,5.0,1.0,213.0,5,6983.606557377049
Nallurhalli,1044.0,2.0,1.0,60.0,2,5747.126436781609
B Narayanapura,1060.0,2.0,1.0,49.27,2,4648.11320754717
Banjara Layout,610.0,3.0,1.0,60.0,3,9836.065573770493
Jalahalli West,469.0,1.0,0.0,25.0,1,5330.490405117271
Yelahanka New Town,1541.0,3.0,3.0,80.0,3,5191.434133679429
Panathur,1315.0,2.0,1.0,59.1,3,4494.296577946768
Sarjapur  Road,1450.0,2.0,1.0,75.0,3,5172.413793103448
Kengeri,750.0,2.0,1.0,38.0,2,5066.666666666667
Cooke Town,2300.0,3.0,1.0,250.0,3,10869.565217391304
Malleshwaram,600.0,1.0,0.0,68.0,2,11333.333333333334
Kengeri Satellite Town,635.0,1.0,1.0,22.0,2,3464.566929133858
Narayanapura,1469.0,2.0,2.0,99.14,2,6748.808713410484
Yeshwanthpur,1541.0,2.0,2.0,130.0,2,8436.080467229072
Maragondanahalli,1307.0,2.0,2.0,59.0,2,4514.154552410099
Outer Ring Road East,3870.0,4.0,2.0,411.0,4,10620.15503875969
Maruthi Nagar,1250.0,3.0,2.0,42.0,3,3360.0
Bisuvanahalli,1075.0,2.0,1.0,52.0,3,4837.209302325581
KUDLU MAIN ROAD,1464.0,2.0,2.0,56.0,2,3825.136612021858
Ashwini layout,834.0,1.0,1.0,62.0,1,7434.052757793765
Marathahalli,1200.0,2.0,2.0,60.0,2,5000.0
Sarjapur  Road,3750.0,6.0,3.0,290.0,4,7733.333333333333
Whitefield,1700.0,3.0,2.0,95.0,3,5588.235294117647
Koramangala,2292.0,3.0,2.0,286.0,3,12478.184991273996
Doddakammanahalli,1180.0,2.0,2.0,56.0,2,4745.762711864407
Yelahanka,1326.0,2.0,2.0,57.0,2,4298.642533936652
2nd Phase Judicial Layout,1300.0,3.0,2.0,64.0,3,4923.076923076923
Hulimavu,2000.0,4.0,0.0,100.0,4,5000.0
Banashankari,1340.0,2.0,2.0,53.6,3,4000.0
Hoodi,1925.0,2.0,3.0,114.0,3,5922.077922077922
TC Palaya,1200.0,2.0,0.0,60.0,2,5000.0
Kanakpura Road,1080.0,6.0,3.0,65.0,5,6018.518518518518
Electronic City,1571.0,3.0,2.0,105.0,3,6683.64099299809
Kambipura,883.0,2.0,1.0,39.0,2,4416.761041902605
Gollahalli,1418.0,2.0,1.0,62.0,2,4372.3554301833565
Vinayaka Nagar,1200.0,2.0,2.0,52.0,2,4333.333333333333
Devanahalli,1045.0,2.0,2.0,48.0,2,4593.301435406698
Vasanthapura,1037.0,2.0,1.0,36.28,2,3498.553519768563
Kammasandra,1365.0,2.0,1.0,34.13,3,2500.3663003663005
Sarjapur  Road,1040.0,2.0,1.0,37.0,2,3557.692307692308
Hoskote,509.0,1.0,1.0,23.0,1,4518.664047151277
Hormavu,1130.0,2.0,1.0,42.3,2,3743.362831858407
Marathahalli,607.0,1.0,1.0,35.0,1,5766.062602965404
Kengeri,540.0,1.0,1.0,22.5,1,4166.666666666667
Madiwala,910.0,4.0,1.0,140.0,4,15384.615384615385
Whitefield,2400.0,4.0,3.0,147.0,4,6125.0
Marathahalli,1285.0,2.0,2.0,55.0,2,4280.155642023346
B Narayanapura,1020.0,2.0,1.0,49.0,2,4803.921568627451
7th Phase JP Nagar,1040.0,2.0,1.0,41.59,2,3999.038461538462
Begur Road,800.0,5.0,2.0,95.0,5,11875.0
Outer Ring Road East,3664.0,3.0,2.0,325.0,3,8870.087336244542
Kasavanhalli,1545.0,3.0,1.0,69.0,3,4466.019417475728
HAL 2nd Stage,600.0,3.0,2.0,145.0,2,24166.666666666668
Hebbal,3067.0,4.0,2.0,230.0,4,7499.184871209651
R.T. Nagar,2400.0,6.0,1.0,450.0,5,18750.0
Vishveshwarya Layout,750.0,1.0,1.0,30.0,1,4000.0
Budigere,705.0,1.0,0.0,34.545,1,4900.0
Kaikondrahalli,1645.0,3.0,2.0,100.0,3,6079.0273556231
Vidhyanagar Cross,1100.0,2.0,2.0,32.0,2,2909.090909090909
KR Puram,1200.0,5.0,1.0,125.0,5,10416.666666666666
Kengeri Satellite Town ( BDA SITE),1600.0,3.0,1.0,172.0,4,10750.0
"Yelahanka,MVIT college",10030.0,1.0,1.0,150.0,1,1495.5134596211367
Uday Nagar,1200.0,6.0,0.0,85.0,6,7083.333333333333
Amruthahalli,1250.0,2.0,2.0,79.0,2,6320.0
Subramanyapura,1278.0,3.0,2.0,70.0,3,5477.308294209703
Electronic City,865.0,2.0,0.0,42.0,2,4855.491329479769
Banashankari Stage VI,1200.0,7.0,1.0,175.0,8,14583.333333333334
Hebbal,1440.0,2.0,1.0,115.0,2,7986.111111111111
8th Phase JP Nagar,1240.0,3.0,2.0,43.5,3,3508.064516129032
Kothannur,1485.0,2.0,2.0,59.4,3,4000.0
1st Block Jayanagar,1875.0,2.0,3.0,235.0,3,12533.333333333334
Hulimavu,1500.0,4.0,3.0,192.0,4,12800.0
Uttarahalli,1155.0,2.0,2.0,40.42,2,3499.5670995670994
Srinagar,625.0,3.0,3.0,78.0,6,12480.0
JP Nagar,1300.0,2.0,1.0,90.87,2,6990.0
7th Phase JP Nagar,1420.0,3.0,2.0,90.0,3,6338.028169014085
KR Puram,4600.0,9.0,2.0,200.0,9,4347.826086956522
Yeshwanthpur Industrial Suburb,1415.0,2.0,2.0,120.0,2,8480.565371024735
Yelahanka New Town,4000.0,2.0,1.0,899.0,4,22475.0
Varthur Road,1255.0,2.0,2.0,52.76,2,4203.98406374502
Horamavu Agara,950.0,2.0,3.0,39.0,2,4105.263157894737
HBR Layout,1198.0,2.0,1.0,65.0,2,5425.709515859767
Devarachikkanahalli,1350.0,7.0,0.0,85.0,8,6296.2962962962965
Hebbal,1645.0,3.0,2.0,120.0,3,7294.83282674772
Kanakpura Road,1452.0,3.0,3.0,60.0,3,4132.231404958678
Marathahalli,1730.0,3.0,3.0,110.0,3,6358.381502890174
Ulsoor,1020.0,3.0,2.0,110.0,3,10784.313725490196
Sarjapur  Road,1157.0,2.0,1.0,69.0,3,5963.699222126188
Hennur Road,1933.0,3.0,2.0,140.0,3,7242.628039317124
Lakshminarayana Pura,1172.0,2.0,2.0,82.0,2,6996.587030716723
Banashankari,1425.0,3.0,3.0,49.88,3,3500.3508771929824
Kumarapalli,1488.0,2.0,2.0,65.0,3,4368.279569892473
Thanisandra,1800.0,4.0,1.0,125.0,3,6944.444444444444
Yelenahalli,1500.0,2.0,2.0,57.0,3,3800.0
Electronic City,1200.0,2.0,1.0,34.66,2,2888.333333333333
Mahalakshmi Layout,1200.0,2.0,3.0,110.0,3,9166.666666666666
Whitefield,1635.0,2.0,2.0,85.0,3,5198.7767584097855
Harlur,1197.0,2.0,1.0,76.0,2,6349.206349206349
Sarjapur  Road,1862.0,4.0,1.0,110.0,3,5907.626208378088
2nd Stage Nagarbhavi,1200.0,4.0,1.0,225.0,4,18750.0
Hosur Road,1170.0,2.0,1.0,48.0,2,4102.564102564103
Satyasaibaba Layout,1190.0,2.0,3.0,42.25,2,3550.4201680672268
Anandapura,640.0,3.0,0.0,45.0,3,7031.25
Electronic City,1125.0,2.0,1.0,32.49,2,2888.0
"Maragondana Halli, kr puram, old madras road",1199.0,2.0,2.0,50.0,2,4170.141784820684
Kanakpura Road,1296.0,2.0,1.0,89.0,2,6867.283950617284
Haralur Road,1225.0,2.0,1.0,67.38,2,5500.408163265306
Silk Board,1020.0,2.0,3.0,48.0,2,4705.882352941177
Kannamangala,1235.0,2.0,2.0,43.63,2,3532.7935222672063
Hennur Gardens,1490.0,2.0,1.0,115.0,3,7718.120805369127
Yelachenahalli,1200.0,2.0,2.0,160.0,2,13333.333333333334
Gottigere,1280.0,2.0,1.0,61.0,2,4765.625
"Hoodi Circle, ",1243.0,2.0,1.0,58.0,2,4666.130329847144
KUDLU MAIN ROAD,1464.0,3.0,2.0,56.0,3,3825.136612021858
Kammasandra,674.0,2.0,1.0,33.0,2,4896.142433234421
Bank Of Baroda Colony,1080.0,2.0,2.0,39.0,2,3611.1111111111113
Sugama Layout,826.0,2.0,2.0,36.0,2,4358.353510895884
Bellandur,2000.0,3.0,2.0,85.0,3,4250.0
Whitefield,613.0,1.0,1.0,48.0,1,7830.342577487765
Nagondanahalli,1641.0,3.0,2.0,66.0,3,4021.937842778793
Tavarekere,1250.0,3.0,2.0,40.0,3,3200.0
Nehru Nagar,967.0,2.0,2.0,41.1,2,4250.258531540848
Balagere,1028.0,2.0,1.0,31.86,2,3099.2217898832687
Austin Town,400.0,1.0,0.0,14.0,1,3500.0
8th Phase JP Nagar,1125.0,2.0,2.0,36.94,2,3283.555555555556
Ambalipura,1730.0,3.0,1.0,120.0,3,6936.416184971098
Haralur Road,1309.0,2.0,1.0,82.0,2,6264.323911382735
Varthur,1083.0,2.0,2.0,28.0,2,2585.410895660203
Electronic City,717.0,5.0,1.0,78.0,5,10878.661087866109
Kasavanhalli,1585.0,2.0,2.0,90.0,2,5678.233438485804
1 Giri Nagar,5000.0,9.0,3.0,360.0,11,7200.0
Frazer Town,1706.0,3.0,3.0,154.0,3,9026.963657678782
Vignana Nagar,1000.0,2.0,2.0,35.0,2,3500.0
Balagere,1380.0,2.0,1.0,60.0,2,4347.826086956522
Kanakpura Road,1737.0,3.0,3.0,85.0,3,4893.494530800231
NS Palya,1200.0,2.0,1.0,74.0,2,6166.666666666667
Chennammana Kere,1145.0,2.0,2.0,58.4,2,5100.436681222707
Begur Road,1200.0,2.0,2.0,44.4,2,3700.0
Shree Ananth Nagar Layout,900.0,2.0,2.0,22.5,2,2500.0
Kudlu Gate,1547.0,2.0,2.0,103.0,2,6658.047834518423
Kanakpura Road,900.0,2.0,2.0,41.0,2,4555.555555555556
Ncpr Industrial Layout,1285.0,2.0,3.0,72.5,2,5642.023346303502
JP Nagar,1197.0,2.0,1.0,47.88,2,4000.0
Whitefield,1216.0,2.0,1.0,80.0,2,6578.9473684210525
Banashankari Stage II,2400.0,2.0,2.0,300.0,3,12500.0
Kenchenahalli,1410.0,2.0,2.0,73.0,3,5177.304964539007
Uttarahalli,1235.0,2.0,3.0,90.0,2,7287.44939271255
Yelahanka,1500.0,2.0,2.0,63.0,3,4200.0
Yeshwanthpur,1161.0,2.0,2.0,64.08,2,5519.37984496124
Sarjapur  Road,1112.0,2.0,1.0,62.0,2,5575.539568345324
Thirumalashettyhally,1077.0,2.0,1.0,34.46,2,3199.6285979572885
Jalahalli East,1020.0,2.0,1.0,58.0,2,5686.274509803921
Kaikondrahalli,1605.0,3.0,3.0,105.0,3,6542.056074766355
Devanahalli,1600.0,3.0,2.0,180.0,3,11250.0
Sarjapur  Road,2100.0,3.0,2.0,130.0,3,6190.476190476191
2nd Stage Nagarbhavi,600.0,3.0,1.0,84.0,4,14000.0
Kambipura,883.0,2.0,1.0,45.0,2,5096.262740656852
Yelahanka,1330.0,2.0,1.0,93.65,2,7041.353383458647
Battarahalli,2024.0,3.0,2.0,103.0,3,5088.932806324111
Raja Rajeshwari Nagar 5th Stage,1056.0,2.0,2.0,55.0,2,5208.333333333333
Kenchenhalli,1350.0,4.0,1.0,90.0,4,6666.666666666667
Thigalarapalya,2215.0,4.0,2.0,160.0,3,7223.476297968397
Akshya Nagar,2400.0,6.0,0.0,130.0,6,5416.666666666667
Manayata Tech Park,1100.0,2.0,2.0,46.0,2,4181.818181818182
Begur Road,1160.0,2.0,2.0,42.92,2,3700.0
Indira Nagar,1210.0,2.0,1.0,102.0,2,8429.752066115703
Hegde Nagar,1340.0,2.0,2.0,72.0,2,5373.134328358209
Judicial Layout,1200.0,6.0,2.0,300.0,6,25000.0
7th Phase JP Nagar,1675.0,2.0,2.0,135.0,3,8059.701492537313
Begur Road,1240.0,2.0,2.0,39.06,2,3150.0
Jinkethimmanahalli,1200.0,2.0,1.0,68.0,2,5666.666666666667
Hennur Road,1735.0,3.0,3.0,78.0,3,4495.677233429395
Uttarahalli,1002.0,2.0,1.0,40.08,2,4000.0
Hosakerehalli,1304.0,2.0,3.0,100.0,2,7668.711656441717
Nagawara Junction,500.0,1.0,2.0,51.0,1,10200.0
Badavala Nagar,1494.0,2.0,2.0,94.55,3,6328.647925033467
Gubbalala,4000.0,5.0,1.0,195.0,4,4875.0
Green View Layout,1108.0,2.0,1.0,48.0,2,4332.129963898917
Doddanakundi Industrial Area 2,1092.0,2.0,1.0,49.0,2,4487.179487179487
Rajiv Nagar,972.0,2.0,2.0,43.0,2,4423.868312757201
Kodathi,1033.0,2.0,2.0,31.5,3,3049.370764762826
Singena Agrahara,1500.0,3.0,2.0,115.0,3,7666.666666666667
Thanisandra,1800.0,3.0,3.0,90.0,3,5000.0
Ananth Nagar,1074.0,2.0,2.0,26.85,2,2500.0
Sarjapur  Road,1242.0,2.0,1.0,78.0,2,6280.193236714976
Kadugodi,1430.0,2.0,0.0,55.0,3,3846.153846153846
Canara Bank Colony,1374.0,2.0,2.0,88.0,3,6404.657933042213
Hosa Road,1639.0,3.0,1.0,80.0,3,4881.025015253204
Thigalarapalya,1418.0,2.0,2.0,105.0,2,7404.795486600846
Devanahalli,1200.0,2.0,1.0,55.08,3,4590.0
Kanakpura Road,950.0,2.0,1.0,40.0,2,4210.526315789473
Rajaji Nagar,1376.0,2.0,1.0,124.0,2,9011.627906976744
Begur Road,1583.0,3.0,1.0,74.4,3,4699.936828806065
Horamavu Banaswadi,1200.0,4.0,2.0,105.0,4,8750.0
CV Raman Nagar,1835.0,3.0,2.0,160.0,3,8719.346049046322
Cambridge Layout,2400.0,3.0,1.0,260.0,3,10833.333333333334
Raja Rajeshwari Nagar,1530.0,3.0,2.0,64.0,3,4183.006535947712
Kamala Nagar,2800.0,3.0,1.0,400.0,3,14285.714285714286
Horamavu Banaswadi,1000.0,2.0,2.0,50.0,2,5000.0
Rajasree Layout,1420.0,3.0,3.0,70.0,3,4929.577464788732
R.T. Nagar,600.0,7.0,3.0,93.0,7,15500.0
Hebbal,5611.5,4.0,0.0,477.0,4,8500.400962309543
Vasanthpura,600.0,6.0,2.0,65.0,6,10833.333333333334
Indira Nagar,2400.0,4.0,2.0,525.0,4,21875.0
Marathahalli,1045.0,2.0,3.0,60.0,2,5741.626794258374
Hoodi,1026.0,2.0,1.0,60.87,2,5932.748538011696
8th Phase JP Nagar,1431.5,3.0,0.0,72.02,3,5031.086273140063
Whitefield,3252.0,4.0,3.0,280.0,4,8610.086100861008
Sarjapur,1000.0,2.0,2.0,30.0,2,3000.0
Sarjapur  Road,1180.0,2.0,2.0,45.0,3,3813.5593220338974
Agara Village,1925.0,3.0,2.0,120.0,3,6233.766233766234
Raghuvanahalli,900.0,1.0,1.0,30.0,1,3333.333333333333
Kumaraswami Layout,510.0,4.0,1.0,70.0,6,13725.490196078432
Sarjapur  Road,1888.0,4.0,1.0,95.0,3,5031.779661016949
Yelahanka,1250.0,2.0,2.0,40.0,2,3200.0
Thanisandra,1225.0,2.0,1.0,37.0,2,3020.408163265306
Kasavanhalli,1980.0,3.0,2.0,88.0,3,4444.444444444444
Laxminarayana Layout,1584.0,3.0,2.0,145.0,4,9154.040404040405
Akshaya Nagar,1419.0,2.0,3.0,73.0,3,5144.46793516561
Ramagondanahalli,1635.0,3.0,1.0,62.0,3,3792.0489296636088
Richmond Town,1233.0,2.0,3.0,100.0,2,8110.300081103001
Malleshwaram,2400.0,3.0,2.0,380.0,3,15833.333333333334
Rachenahalli,1530.0,2.0,2.0,74.39,3,4862.091503267974
Munnekollal,7200.0,10.0,3.0,200.0,10,2777.777777777778
Bannerghatta Road,500.0,1.0,1.0,18.5,1,3700.0
Old Airport Road,1206.0,2.0,3.0,75.0,2,6218.905472636816
Bellandur,1250.0,2.0,1.0,76.0,2,6080.0
Begur Road,1410.0,2.0,3.0,53.58,3,3800.0
Doddanakunte,2700.0,5.0,2.0,150.0,5,5555.555555555556
Ganga Nagar,600.0,1.0,0.0,38.0,1,6333.333333333333
NS Palya,2000.0,2.0,1.0,160.0,2,8000.0
Banashankari Stage I,3000.0,4.0,3.0,170.0,5,5666.666666666667
Thigalarapalya,1418.0,2.0,2.0,106.0,2,7475.317348377997
Jigani,1453.0,4.0,1.0,160.0,4,11011.699931176876
Hongasandra,1065.0,2.0,2.0,45.0,2,4225.352112676056
Basapura,1200.0,2.0,2.0,35.0,2,2916.6666666666665
Akshaya Nagar,1126.0,2.0,1.0,55.0,2,4884.547069271758
NRI Layout,1200.0,4.0,0.0,95.0,4,7916.666666666667
Hegde Nagar,2144.6,4.0,2.0,145.0,3,6761.167583698592
Marathahalli,1315.0,2.0,2.0,60.0,3,4562.737642585551
Thanisandra,662.0,1.0,0.0,45.0,1,6797.583081570997
Whitefield,4960.0,4.0,3.0,400.0,4,8064.516129032258
Haralur Road,1056.0,2.0,1.0,61.0,2,5776.515151515152
Baba Nagar,1200.0,3.0,3.0,96.25,3,8020.833333333333
Sarjapur  Road,1800.0,3.0,2.0,128.0,3,7111.111111111111
Balagere,661.0,1.0,1.0,33.0,1,4992.435703479577
Jakkur,2249.81,4.0,2.0,245.0,4,10889.808472715476
Chamrajpet,650.0,2.0,2.0,45.0,2,6923.076923076923
Hoodi,1196.0,2.0,0.0,71.74,2,5998.327759197324
Whitefield,3150.0,3.0,1.0,290.0,3,9206.349206349209
Dooravani Nagar,1596.0,3.0,1.0,105.0,3,6578.9473684210525
9th Phase JP Nagar,1005.0,2.0,1.0,43.0,2,4278.606965174129
Sarjapur  Road,1770.0,3.0,2.0,180.0,3,10169.49152542373
Dasarahalli,1901.0,3.0,2.0,119.0,3,6259.863229879011
Bhoganhalli,1447.0,2.0,1.0,75.97,2,5250.172771250864
Kattigenahalli,1062.0,2.0,2.0,47.0,2,4425.612052730697
Sarakki Nagar,1200.0,3.0,2.0,128.0,3,10666.666666666666
Marathahalli,1710.0,3.0,2.0,135.0,3,7894.736842105263
Rajaji Nagar,2415.0,3.0,2.0,399.0,3,16521.739130434784
Yelahanka,1200.0,2.0,1.0,54.0,2,4500.0
Electronic City,1449.0,3.0,2.0,90.0,3,6211.180124223602
Raja Rajeshwari Nagar,1525.0,2.0,2.0,99.13,3,6500.327868852459
Nrupathunga Nagar,1200.0,5.0,0.0,80.0,7,6666.666666666667
Bommanahalli,1300.0,3.0,2.0,45.0,3,3461.538461538461
Hennur Road,1232.0,2.0,2.0,89.0,2,7224.025974025974
Bannerghatta Road,1170.0,2.0,1.0,66.0,3,5641.025641025641
Whitefield,1150.0,2.0,2.0,40.21,2,3496.521739130435
HBR Layout,1089.0,2.0,1.0,60.0,2,5509.641873278237
Hosakerehalli,2378.0,3.0,1.0,310.0,3,13036.164844407063
Bisuvanahalli,1075.0,2.0,1.0,36.0,3,3348.8372093023254
Devara Jeevanahalli,400.0,2.0,2.0,35.0,4,8750.0
Uttarahalli,1350.0,2.0,3.0,47.24,3,3499.259259259259
Koramangala,1120.0,2.0,0.0,65.0,2,5803.571428571428
Udayagiri,1145.0,2.0,2.0,60.0,3,5240.174672489083
Haralur Road,1255.0,3.0,1.0,90.0,3,7171.314741035857
Raja Rajeshwari Nagar,1143.0,2.0,2.0,38.65,2,3381.4523184601926
Vasanthapura,420.0,2.0,0.0,35.0,2,8333.333333333334
Yelahanka New Town,1599.0,3.0,2.0,80.0,3,5003.126954346467
Kanakapura,1699.0,3.0,3.0,97.0,3,5709.240729841083
KR Puram,1100.0,2.0,1.0,39.9,2,3627.272727272728
Haralur Road,1520.0,2.0,2.0,125.0,3,8223.684210526315
Ambedkar Colony,1468.0,2.0,1.0,140.0,2,9536.784741144416
Keshava Nagar,1623.0,3.0,3.0,155.0,3,9550.215650030808
Hoodi,2144.0,3.0,2.0,140.0,3,6529.850746268657
Electronic City,1152.0,2.0,1.0,65.0,2,5642.361111111111
Frazer Town,1420.0,2.0,0.0,120.0,2,8450.704225352112
Rajaji Nagar,1350.0,4.0,1.0,230.0,4,17037.037037037036
Kanakpura Road,900.0,1.0,0.0,45.0,2,5000.0
8th Phase JP Nagar,500.0,1.0,1.0,31.0,1,6200.0
Palanahalli,4300.0,5.0,2.0,550.0,4,12790.697674418603
Whitefield,1216.0,2.0,1.0,66.48,2,5467.105263157895
BSM Extension,900.0,2.0,3.0,45.0,2,5000.0
Electronic City,1140.0,2.0,1.0,32.93,2,2888.59649122807
Babusapalaya,1061.0,2.0,1.0,38.95,2,3671.065032987748
Kanakpura Road,1591.0,3.0,1.0,122.0,3,7668.133249528599
Somasundara Palya,1600.0,3.0,3.0,68.0,3,4250.0
Vignana Nagar,1110.0,2.0,2.0,58.0,2,5225.225225225226
9th Phase JP Nagar,1331.95,2.0,2.0,69.0,2,5180.374638687638
Akshaya Nagar,1092.0,2.0,1.0,60.0,2,5494.505494505494
Whitefield,2858.0,4.0,0.0,137.0,4,4793.561931420574
Kodbisanhalli,1245.0,1.0,3.0,60.0,2,4819.277108433735
Begur,1580.0,3.0,2.0,75.0,3,4746.835443037975
Kanakpura Road,900.0,2.0,1.0,46.0,2,5111.111111111111
Whitefield,1116.0,2.0,1.0,51.91,2,4651.433691756272
Hosa Road,1726.0,3.0,2.0,81.99,3,4750.289687137891
Whitefield,1204.0,4.0,1.0,125.0,4,10382.059800664452
Thigalarapalya,2072.0,4.0,2.0,155.0,3,7480.694980694981
Rajaji Nagar,1640.0,3.0,3.0,223.0,3,13597.560975609756
CV Raman Nagar,1028.0,2.0,1.0,49.0,2,4766.536964980544
Gollarahatti,740.0,2.0,1.0,24.5,4,3310.810810810811
6th Phase JP Nagar,750.0,1.0,1.0,105.0,1,14000.0
Malleshwaram,900.0,2.0,1.0,72.0,2,8000.0
Hulimavu,1100.0,2.0,2.0,71.5,2,6500.0
Sanjay nagar,1800.0,3.0,2.0,180.0,3,10000.0
7th Phase JP Nagar,1080.0,2.0,2.0,72.0,2,6666.666666666667
Doddaballapur,2440.0,3.0,1.0,142.0,3,5819.672131147541
Yelahanka,1620.0,3.0,2.0,90.0,3,5555.555555555556
Seetharampalya,1250.0,2.0,2.0,90.0,2,7200.0
Abbaiah Reddy Layout,1200.0,2.0,2.0,50.0,2,4166.666666666667
Somasundara Palya,1600.0,3.0,3.0,64.0,3,4000.0
Hosa Road,1893.0,3.0,2.0,130.0,3,6867.406233491812
Panathur,1198.0,2.0,1.0,77.0,2,6427.378964941569
Attibele,1700.0,3.0,1.0,65.0,3,3823.529411764706
Kasavanhalli,1189.0,2.0,1.0,45.0,2,3784.693019343986
GB Palya,930.0,2.0,1.0,45.0,2,4838.709677419355
Ardendale,1100.0,2.0,1.0,43.25,2,3931.818181818182
Whitefield,1115.0,2.0,1.0,55.0,2,4932.735426008969
Kaikondrahalli,1300.0,2.0,2.0,61.0,2,4692.307692307692
Whitefield,3227.0,5.0,0.0,250.0,5,7747.133560582584
Frazer Town,1550.0,2.0,2.0,140.0,2,9032.258064516129
Cholanayakanahalli,750.0,2.0,0.0,50.0,1,6666.666666666667
Panathur,1193.0,2.0,1.0,86.0,2,7208.717518860017
Hennur Road,1052.0,2.0,1.0,34.72,2,3300.380228136882
Thanisandra,1114.0,2.0,1.0,39.0,2,3500.8976660682224
Kothanur,1577.0,3.0,1.0,70.0,3,4438.807863031072
Electronic City Phase II,1031.0,2.0,1.0,53.0,2,5140.640155189137
kg halli jalhalli west,980.0,3.0,1.0,80.0,3,8163.265306122449
Choodasandra,1115.0,2.0,2.0,50.0,2,4484.304932735426
"Lakshminarayanapura, Electronic City Phase 2",2000.0,4.0,1.0,75.5,4,3775.0
Upkar Layout,1200.0,6.0,2.0,160.0,6,13333.333333333334
"Varthur Road, ",1595.0,3.0,2.0,76.0,3,4764.8902821316615
Kanakpura Road,1843.0,3.0,2.0,85.0,3,4612.045577862181
KR Puram,4300.0,6.0,2.0,175.0,6,4069.767441860465
Whitefield,1355.0,3.0,3.0,76.0,2,5608.856088560886
Hegde Nagar,2087.01,3.0,2.0,115.0,3,5510.275465857853
1st Block Jayanagar,1000.0,3.0,2.0,60.0,2,6000.0
BCC Layout,1500.0,5.0,1.0,230.0,4,15333.333333333334
8th Phase JP Nagar,1035.0,2.0,1.0,39.33,2,3800.0
